city,temp,lat,lng,humidity,cloudiness,wind_speed,country,date
George Town,31.81,5.4112,100.3354,70,20,3.6,MY,1657878205
Saint Paul Harbor,13.73,57.79,-152.4072,82,0,2.57,US,1657878207
Aasiaat,3.51,68.7098,-52.8699,79,89,4.15,GL,1657878209
São João da Barra,21.05,-21.6403,-41.0511,89,42,4.9,BR,1657878211
Hilo,22.82,19.7297,-155.09,95,100,2.57,US,1657878214
Rawson,4.97,-43.3002,-65.1023,93,100,7.24,AR,1657878216
Aleksandrov Gay,28.39,50.147,48.5704,32,0,7.75,RU,1657878218
New Norfolk,5.79,-42.7826,147.0587,82,52,0.45,AU,1657878220
Arlit,38.91,18.7369,7.3853,11,5,2.5,NE,1657878222
Nikolskoye,20.46,59.7035,30.7861,43,100,3.31,RU,1657878224
Tiksi,6.19,71.6872,128.8694,81,89,7.33,RU,1657878226
Sovetskiy,30.87,61.3614,63.5842,33,69,2.11,RU,1657878228
Port Hardy,13.1,50.6996,-127.4199,94,100,0.0,CA,1657878230
Saint-Philippe,26.77,-21.3585,55.7679,79,59,5.32,RE,1657878233
Trincomalee,33.17,8.5711,81.2335,48,100,8.7,LK,1657878235
Ushuaia,-4.19,-54.8,-68.3,80,0,0.51,AR,1657878008
Mto wa Mbu,26.69,-3.35,35.85,43,79,3.32,TZ,1657878232
Graham,12.4,47.0529,-122.2943,87,20,0.45,US,1657878245
‘Ewa Beach,25.52,21.3156,-158.0072,69,0,6.17,US,1657878247
Vaini,24.09,-21.2,-175.2,100,40,2.57,TO,1657878249
Lima,14.14,-12.0432,-77.0282,82,100,2.57,PE,1657877830
Lorengau,27.06,-2.0226,147.2712,80,100,4.93,PG,1657878254
Coquimbo,9.85,-29.9533,-71.3436,81,100,4.12,CL,1657878256
Hamilton,18.11,39.1834,-84.5333,87,0,0.0,US,1657878181
Hermanus,16.0,-34.4187,19.2345,69,97,3.13,ZA,1657878235
Aklavik,1.02,68.2191,-135.0107,94,49,0.68,CA,1657878262
Ferrol,27.28,43.4832,-8.2369,50,38,0.97,ES,1657878154
Palauig,28.72,15.435,119.9045,81,83,2.16,PH,1657878266
Manokwari,27.17,-0.8667,134.0833,75,29,0.8,ID,1657878268
Albany,13.1,42.6001,-73.9662,86,1,1.54,US,1657878270
Sydney,9.61,-33.8679,151.2073,68,0,2.06,AU,1657878007
Lugo,34.87,43.0,-7.5,38,65,0.45,ES,1657878274
Stara Moravica,34.01,45.8689,19.4661,23,8,5.27,RS,1657878197
Ribeira Grande,23.22,38.5167,-28.7,64,20,3.09,PT,1657878281
Karachi,35.9,24.9056,67.0822,41,40,9.77,PK,1657877664
Dicabisagan,28.88,17.0818,122.4157,85,99,3.37,PH,1657878287
North Platte,22.11,41.1239,-100.7654,71,0,1.34,US,1657878289
Port Alfred,18.99,-33.5906,26.891,66,0,0.89,ZA,1657878291
Kasongo-Lunda,32.69,-6.4667,16.8167,19,1,2.27,CD,1657878293
Saskylakh,15.03,71.9167,114.0833,42,47,3.51,RU,1657878282
Yuancheng,22.11,36.652,107.7896,93,100,1.22,CN,1657878298
Busselton,14.8,-33.65,115.3333,75,75,2.9,AU,1657878300
Kupang,24.51,-10.1667,123.5833,63,30,7.29,ID,1657878302
Ponta Delgada,22.4,37.7333,-25.6667,78,40,6.17,PT,1657878141
Atuona,25.02,-9.8,-139.0333,70,18,5.94,PF,1657878306
Half Moon Bay,13.08,37.4636,-122.4286,86,100,4.12,US,1657878308
Avarua,24.03,-21.2078,-159.775,57,75,5.14,CK,1657878312
Dikson,6.68,73.5069,80.5464,79,11,6.61,RU,1657878315
Rio Claro,15.76,-22.4114,-47.5614,61,27,3.64,BR,1657878317
Saint Augustine,22.89,29.8947,-81.3145,97,100,1.0,US,1657878220
Batangafo,28.39,7.3008,18.2833,65,96,2.23,CF,1657878323
Darhan,22.03,49.4867,105.9228,59,100,2.08,MN,1657878325
Nanortalik,6.49,60.1432,-45.2371,83,100,0.29,GL,1657878327
Punta Arenas,-2.94,-53.15,-70.9167,100,20,3.09,CL,1657878046
Puerto Ayora,19.75,-0.7393,-90.3518,98,82,3.58,EC,1657878331
Bredasdorp,15.72,-34.5322,20.0403,64,78,3.24,ZA,1657878333
Bluff,4.33,-46.6,168.3333,70,60,5.31,NZ,1657878336
Ol'ga,16.38,43.7444,135.2892,98,100,10.37,RU,1657878338
Fairbanks,10.76,64.8378,-147.7164,72,0,1.54,US,1657878340
Igarka,17.63,67.4667,86.5833,43,76,3.29,RU,1657878342
Qaanaaq,9.16,77.484,-69.3632,66,100,3.95,GL,1657878344
Bridgend,19.35,51.5058,-3.5772,70,56,3.58,GB,1657878305
Port Elizabeth,18.16,-33.918,25.5701,52,0,1.54,ZA,1657878217
Khatanga,17.39,71.9667,102.5,39,61,3.64,RU,1657878353
Rikitea,19.56,-23.1203,-134.9692,77,100,3.71,PF,1657878355
Rabaul,26.98,-4.1967,152.1721,78,98,6.38,PG,1657878357
Sarangani,28.13,5.4033,125.4636,77,58,5.34,PH,1657878359
Ponta do Sol,22.97,32.6667,-17.1,75,3,1.6,PT,1657878361
Pangai,25.68,-19.8,-174.35,82,1,9.77,TO,1657878363
Yulara,14.91,-25.2406,130.9889,15,0,1.54,AU,1657878365
Saint George,26.98,37.1041,-113.5841,52,0,5.14,US,1657878367
Upernavik,7.42,72.7868,-56.1549,71,0,2.76,GL,1657878369
Katsuura,24.15,35.1333,140.3,95,100,3.76,JP,1657878371
Mataura,4.15,-46.1927,168.8643,98,98,1.28,NZ,1657878376
Hong Kong,31.73,22.2855,114.1577,76,97,4.47,HK,1657878242
Medyn',22.27,54.9692,35.8586,42,67,4.55,RU,1657878380
Ilulissat,12.01,69.2167,-51.1,40,100,8.23,GL,1657878382
Chui,14.64,-33.6971,-53.4616,99,100,1.69,UY,1657878384
Codrington,10.07,-38.2667,141.9667,69,100,5.29,AU,1657878386
Tazovsky,16.86,67.4667,78.7,46,92,3.91,RU,1657878388
Ostrovnoy,21.7,68.0531,39.5131,55,48,5.05,RU,1657878390
Devils Lake,18.15,48.1128,-98.8651,96,100,3.13,US,1657878267
Longyearbyen,12.91,78.2186,15.6401,67,75,6.69,SJ,1657878397
Chongwe,23.93,-15.3292,28.682,30,4,3.98,ZM,1657878399
Broome,11.13,42.2506,-75.833,86,0,0.45,US,1657878401
Bengkulu,27.24,-3.8004,102.2655,80,87,1.51,ID,1657878403
Arísvi,31.74,41.0667,25.5833,37,0,4.31,GR,1657878407
Río Gallegos,-8.97,-51.6226,-69.2181,92,20,1.03,AR,1657878409
Airai,13.89,-8.9266,125.4092,86,96,1.21,TL,1657878411
Berezniki,20.69,59.4152,56.8124,88,100,4.37,RU,1657878420
Lebu,4.78,-37.6167,-73.65,89,77,3.66,CL,1657878423
Carnarvon,20.38,-24.8667,113.6333,65,2,7.31,AU,1657878425
Shingū,25.17,33.7333,135.9833,87,61,2.54,JP,1657878427
Jiayuguan City,23.61,39.8167,98.3,36,87,2.99,CN,1657878429
Hithadhoo,28.78,-0.6,73.0833,74,57,4.7,MV,1657878376
Arraial do Cabo,20.92,-22.9661,-42.0278,94,20,5.14,BR,1657878433
Mama,21.09,58.3106,112.8986,85,100,1.95,RU,1657878436
Cururupu,23.44,-1.8283,-44.8683,94,4,1.77,BR,1657878438
Mar del Plata,11.3,-38.0023,-57.5575,98,100,3.13,AR,1657878440
Orlik,7.31,52.5178,99.825,94,100,1.51,RU,1657878442
Pisco,12.03,-13.7,-76.2167,87,3,3.09,PE,1657878444
Yellowknife,14.29,62.456,-114.3525,82,20,4.63,CA,1657878447
Jinchang,18.93,38.4953,102.1739,63,100,3.37,CN,1657878449
Alugan,28.46,12.2188,125.4808,74,100,1.88,PH,1657878451
Tanhaçu,17.04,-14.0214,-41.2481,90,43,1.15,BR,1657878453
Castro,13.49,-24.7911,-50.0119,69,81,2.92,BR,1657878457
Cape Town,16.77,-33.9258,18.4232,71,0,3.6,ZA,1657877967
Kavieng,26.36,-2.5744,150.7967,81,100,5.13,PG,1657878461
Mumbwa,23.66,-14.9783,27.0619,26,0,3.55,ZM,1657878464
Parchim,19.49,53.4263,11.8488,48,93,7.0,DE,1657878466
Pevek,1.46,69.7008,170.3133,80,100,1.65,RU,1657878468
Yinchuan,29.06,38.4681,106.2731,40,100,8.45,CN,1657878470
Hobart,7.15,-42.8794,147.3294,83,75,2.57,AU,1657878229
Quelimane,24.95,-17.8786,36.8883,61,40,3.13,MZ,1657878474
Sur,30.61,22.5667,59.5289,68,78,3.43,OM,1657878476
Thompson,11.09,55.7435,-97.8558,100,40,0.0,CA,1657878478
Roald,12.51,62.5833,6.1333,76,75,3.6,NO,1657878480
Souillac,24.21,-20.5167,57.5167,64,75,4.63,MU,1657878483
Bethel,16.46,41.3712,-73.414,84,75,0.0,US,1657878485
Natchitoches,21.99,31.7668,-93.1335,100,0,0.0,US,1657878487
Klaksvík,11.51,62.2266,-6.589,85,80,9.59,FO,1657878271
Norman Wells,9.02,65.282,-126.8329,93,100,2.06,CA,1657878493
Pangnirtung,12.34,66.1451,-65.7125,51,36,0.75,CA,1657878495
That Phanom,30.01,16.9364,104.7104,79,100,1.7,TH,1657878497
Pangody,22.82,65.85,74.4859,31,11,2.86,RU,1657878501
Mehamn,19.97,71.0357,27.8492,68,20,9.77,NO,1657878504
Hualmay,15.06,-11.0964,-77.6139,86,68,3.76,PE,1657878506
San Carlos del Zulia,22.69,9.0,-71.9135,92,31,1.93,VE,1657878508
Kamenka,24.75,51.3223,42.7678,44,21,5.97,RU,1657878510
Port Augusta,10.54,-32.5,137.7667,41,83,4.14,AU,1657878512
